user,date,habit,time_of_day,completed
user_1,2025-08-24,walk_5min,afternoon,0
user_1,2025-08-24,read_5min,morning,1
user_1,2025-08-24,meditate,afternoon,0
user_1,2025-08-24,sleep_early,morning,1
user_1,2025-08-24,journal,morning,1
user_1,2025-08-25,drink_water,morning,0
user_1,2025-08-25,stretch,morning,1
user_1,2025-08-25,walk_5min,morning,1
user_1,2025-08-25,read_5min,morning,1
user_1,2025-08-25,meditate,morning,0
user_1,2025-08-25,sleep_early,afternoon,0
user_1,2025-08-25,journal,afternoon,1
user_1,2025-08-26,drink_water,evening,0
user_1,2025-08-26,stretch,morning,0
user_1,2025-08-26,walk_5min,afternoon,0
user_1,2025-08-26,read_5min,afternoon,0
user_1,2025-08-26,meditate,afternoon,0
user_1,2025-08-26,sleep_early,evening,0
user_1,2025-08-26,journal,morning,1
user_1,2025-08-27,drink_water,evening,1
user_1,2025-08-27,stretch,morning,1
user_1,2025-08-27,walk_5min,morning,1
user_1,2025-08-27,read_5min,afternoon,1
user_1,2025-08-27,meditate,evening,1
user_1,2025-08-27,sleep_early,morning,1
user_1,2025-08-27,journal,evening,0
user_1,2025-08-28,drink_water,evening,1
user_1,2025-08-28,stretch,afternoon,1
user_1,2025-08-28,walk_5min,evening,1
user_1,2025-08-28,read_5min,afternoon,1
user_1,2025-08-28,meditate,afternoon,1
user_1,2025-08-28,sleep_early,evening,1
user_1,2025-08-28,journal,morning,1
user_1,2025-08-29,drink_water,morning,1
user_1,2025-08-29,stretch,morning,1
user_1,2025-08-29,walk_5min,morning,1
user_1,2025-08-29,read_5min,morning,1
user_1,2025-08-29,meditate,morning,1
user_1,2025-08-29,sleep_early,evening,1
user_1,2025-08-29,journal,morning,0
user_1,2025-08-30,drink_water,morning,1
user_1,2025-08-30,stretch,afternoon,1
user_1,2025-08-30,walk_5min,morning,0
user_1,2025-08-30,read_5min,afternoon,0
user_1,2025-08-30,meditate,morning,0
user_1,2025-08-30,sleep_early,afternoon,0
user_1,2025-08-30,journal,morning,1
user_2,2025-08-01,drink_water,evening,1
user_2,2025-08-01,stretch,morning,0
user_2,2025-08-01,walk_5min,morning,1
user_2,2025-08-01,read_5min,morning,1
user_2,2025-08-01,meditate,afternoon,1
user_2,2025-08-01,sleep_early,morning,1
user_2,2025-08-01,journal,morning,0
user_2,2025-08-02,drink_water,morning,1
user_2,2025-08-02,stretch,evening,0
user_2,2025-08-02,walk_5min,afternoon,0
user_2,2025-08-02,read_5min,afternoon,1
user_2,2025-08-02,meditate,morning,1
user_2,2025-08-02,sleep_early,evening,1
user_2,2025-08-02,journal,morning,1
user_2,2025-08-03,drink_water,evening,1
user_2,2025-08-03,stretch,afternoon,1
user_2,2025-08-03,walk_5min,morning,1
user_2,2025-08-03,read_5min,morning,0
user_2,2025-08-03,meditate,morning,1
user_2,2025-08-03,sleep_early,morning,1
user_2,2025-08-03,journal,afternoon,1
user_2,2025-08-04,drink_water,evening,1
user_2,2025-08-04,stretch,afternoon,1
user_2,2025-08-04,walk_5min,afternoon,1
user_2,2025-08-04,read_5min,evening,0
user_2,2025-08-04,meditate,morning,1
user_2,2025-08-04,sleep_early,morning,1
user_2,2025-08-04,journal,afternoon,1
user_2,2025-08-05,drink_water,morning,0
user_2,2025-08-05,stretch,morning,0
user_2,2025-08-05,walk_5min,morning,1
user_2,2025-08-05,read_5min,afternoon,1
user_2,2025-08-05,meditate,afternoon,0
user_2,2025-08-05,sleep_early,evening,1
user_2,2025-08-05,journal,evening,1
user_2,2025-08-06,drink_water,afternoon,0
user_2,2025-08-06,stretch,morning,1
user_2,2025-08-06,walk_5min,evening,1
user_2,2025-08-06,read_5min,morning,1
user_2,2025-08-06,meditate,afternoon,0
user_2,2025-08-06,sleep_early,morning,0
user_2,2025-08-06,journal,afternoon,1
user_2,2025-08-07,drink_water,afternoon,0
user_2,2025-08-07,stretch,morning,1
user_2,2025-08-07,walk_5min,evening,1
user_2,2025-08-07,read_5min,evening,1
user_2,2025-08-07,meditate,morning,1
user_2,2025-08-07,sleep_early,morning,1
user_2,2025-08-07,journal,afternoon,1
user_2,2025-08-08,drink_water,evening,0
user_2,2025-08-08,stretch,evening,1
user_2,2025-08-08,walk_5min,afternoon,1
user_2,2025-08-08,read_5min,evening,1
user_2,2025-08-08,meditate,morning,1
user_2,2025-08-08,sleep_early,evening,0
user_2,2025-08-08,journal,evening,1
user_2,2025-08-09,drink_water,afternoon,0
user_2,2025-08-09,stretch,morning,1
user_2,2025-08-09,walk_5min,morning,1
user_2,2025-08-09,read_5min,morning,1
user_2,2025-08-09,meditate,morning,0
user_2,2025-08-09,sleep_early,afternoon,0
user_2,2025-08-09,journal,evening,1
user_2,2025-08-10,drink_water,afternoon,1
user_2,2025-08-10,stretch,afternoon,1
user_2,2025-08-10,walk_5min,morning,1
user_2,2025-08-10,read_5min,afternoon,1
user_2,2025-08-10,meditate,morning,1
user_2,2025-08-10,sleep_early,afternoon,1
user_2,2025-08-10,journal,morning,1
user_2,2025-08-11,drink_water,morning,1
user_2,2025-08-11,stretch,evening,1
user_2,2025-08-11,walk_5min,morning,1
user_2,2025-08-11,read_5min,evening,0
user_2,2025-08-11,meditate,morning,1
user_2,2025-08-11,sleep_early,evening,1
user_2,2025-08-11,journal,morning,1
user_2,2025-08-12,drink_water,morning,1
user_2,2025-08-12,stretch,morning,0
user_2,2025-08-12,walk_5min,morning,1
user_2,2025-08-12,read_5min,afternoon,0
user_2,2025-08-12,meditate,morning,1
user_2,2025-08-12,sleep_early,morning,0
user_2,2025-08-12,journal,morning,0
user_2,2025-08-13,drink_water,morning,1
user_2,2025-08-13,stretch,afternoon,1
user_2,2025-08-13,walk_5min,morning,1
user_2,2025-08-13,read_5min,morning,1
user_2,2025-08-13,meditate,morning,1
user_2,2025-08-13,sleep_early,morning,1
user_2,2025-08-13,journal,evening,1
user_2,2025-08-14,drink_water,afternoon,1
user_2,2025-08-14,stretch,afternoon,0
user_2,2025-08-14,walk_5min,afternoon,1
user_2,2025-08-14,read_5min,morning,1
user_2,2025-08-14,meditate,morning,1
user_2,2025-08-14,sleep_early,afternoon,1
user_2,2025-08-14,journal,evening,1
user_2,2025-08-15,drink_water,afternoon,1
user_2,2025-08-15,stretch,afternoon,0
user_2,2025-08-15,walk_5min,morning,0
user_2,2025-08-15,read_5min,morning,1
user_2,2025-08-15,meditate,afternoon,1
user_2,2025-08-15,sleep_early,morning,1
user_2,2025-08-15,journal,evening,0
user_2,2025-08-16,drink_water,morning,0
user_2,2025-08-16,stretch,evening,1
user_2,2025-08-16,walk_5min,evening,1
user_2,2025-08-16,read_5min,morning,0
user_2,2025-08-16,meditate,afternoon,1
user_2,2025-08-16,sleep_early,afternoon,1
user_2,2025-08-16,journal,evening,0
user_2,2025-08-17,drink_water,morning,1
user_2,2025-08-17,stretch,evening,0
user_2,2025-08-17,walk_5min,evening,0
user_2,2025-08-17,read_5min,morning,1
user_2,2025-08-17,meditate,morning,0
user_2,2025-08-17,sleep_early,evening,1
user_2,2025-08-17,journal,afternoon,1
user_2,2025-08-18,drink_water,morning,0
user_2,2025-08-18,stretch,morning,1
user_2,2025-08-18,walk_5min,morning,0
user_2,2025-08-18,read_5min,morning,1
user_2,2025-08-18,meditate,evening,1
user_2,2025-08-18,sleep_early,afternoon,0
user_2,2025-08-18,journal,morning,0
user_2,2025-08-19,drink_water,evening,1
user_2,2025-08-19,stretch,afternoon,0
user_2,2025-08-19,walk_5min,evening,0
user_2,2025-08-19,read_5min,afternoon,1
user_2,2025-08-19,meditate,morning,1
user_2,2025-08-19,sleep_early,morning,1
user_2,2025-08-19,journal,morning,0
user_2,2025-08-20,drink_water,morning,0
user_2,2025-08-20,stretch,afternoon,0
user_2,2025-08-20,walk_5min,evening,0
user_2,2025-08-20,read_5min,morning,1
user_2,2025-08-20,meditate,afternoon,1
user_2,2025-08-20,sleep_early,evening,0
user_2,2025-08-20,journal,afternoon,0
user_2,2025-08-21,drink_water,evening,1
user_2,2025-08-21,stretch,morning,0
user_2,2025-08-21,walk_5min,morning,1
user_2,2025-08-21,read_5min,morning,0
user_2,2025-08-21,meditate,morning,0
user_2,2025-08-21,sleep_early,morning,1
user_2,2025-08-21,journal,morning,1
user_2,2025-08-22,drink_water,morning,0
user_2,2025-08-22,stretch,afternoon,1
user_2,2025-08-22,walk_5min,evening,0
user_2,2025-08-22,read_5min,morning,1
user_2,2025-08-22,meditate,morning,0
user_2,2025-08-22,sleep_early,morning,0
user_2,2025-08-22,journal,morning,0
user_2,2025-08-23,drink_water,evening,0
user_2,2025-08-23,stretch,afternoon,1
user_2,2025-08-23,walk_5min,afternoon,0
user_2,2025-08-23,read_5min,morning,1
user_2,2025-08-23,meditate,evening,1
user_2,2025-08-23,sleep_early,evening,0
user_2,2025-08-23,journal,afternoon,1
user_2,2025-08-24,drink_water,morning,1
user_2,2025-08-24,stretch,morning,1
user_2,2025-08-24,walk_5min,evening,1
user_2,2025-08-24,read_5min,evening,1
user_2,2025-08-24,meditate,morning,1
user_2,2025-08-24,sleep_early,morning,1
user_2,2025-08-24,journal,morning,0
user_2,2025-08-25,drink_water,evening,1
user_2,2025-08-25,stretch,morning,0
user_2,2025-08-25,walk_5min,afternoon,1
user_2,2025-08-25,read_5min,morning,1
user_2,2025-08-25,meditate,evening,0
user_2,2025-08-25,sleep_early,morning,1
user_2,2025-08-25,journal,afternoon,1
user_2,2025-08-26,drink_water,morning,1
user_2,2025-08-26,stretch,evening,1
user_2,2025-08-26,walk_5min,morning,1
user_2,2025-08-26,read_5min,afternoon,1
user_2,2025-08-26,meditate,afternoon,1
user_2,2025-08-26,sleep_early,morning,0
user_2,2025-08-26,journal,morning,1
user_2,2025-08-27,drink_water,morning,1
user_2,2025-08-27,stretch,afternoon,1
user_2,2025-08-27,walk_5min,morning,0
user_2,2025-08-27,read_5min,morning,1
user_2,2025-08-27,meditate,afternoon,1
user_2,2025-08-27,sleep_early,morning,0
user_2,2025-08-27,journal,morning,1
user_2,2025-08-28,drink_water,evening,0
user_2,2025-08-28,stretch,evening,1
user_2,2025-08-28,walk_5min,afternoon,0
user_2,2025-08-28,read_5min,morning,0
user_2,2025-08-28,meditate,afternoon,1
user_2,2025-08-28,sleep_early,evening,1
user_2,2025-08-28,journal,evening,0
user_2,2025-08-29,drink_water,morning,1
user_2,2025-08-29,stretch,evening,0
user_2,2025-08-29,walk_5min,evening,1
user_2,2025-08-29,read_5min,evening,1
user_2,2025-08-29,meditate,afternoon,1
user_2,2025-08-29,sleep_early,evening,0
user_2,2025-08-29,journal,morning,0
user_2,2025-08-30,drink_water,morning,1
user_2,2025-08-30,stretch,morning,0
user_2,2025-08-30,walk_5min,evening,1
user_2,2025-08-30,read_5min,evening,1
user_2,2025-08-30,meditate,morning,1
user_2,2025-08-30,sleep_early,evening,1
user_2,2025-08-30,journal,afternoon,1
user_3,2025-08-01,drink_water,morning,0
user_3,2025-08-01,stretch,evening,1
user_3,2025-08-01,walk_5min,afternoon,0
user_3,2025-08-01,read_5min,morning,1
user_3,2025-08-01,meditate,morning,0
user_3,2025-08-01,sleep_early,morning,1
user_3,2025-08-01,journal,evening,0
user_3,2025-08-02,drink_water,morning,0
user_3,2025-08-02,stretch,afternoon,1
user_3,2025-08-02,walk_5min,evening,1
user_3,2025-08-02,read_5min,morning,1
user_3,2025-08-02,meditate,afternoon,1
user_3,2025-08-02,sleep_early,evening,0
user_3,2025-08-02,journal,evening,1
user_3,2025-08-03,drink_water,evening,1
user_3,2025-08-03,stretch,afternoon,0
user_3,2025-08-03,walk_5min,morning,0
user_3,2025-08-03,read_5min,morning,0
user_3,2025-08-03,meditate,morning,0
user_3,2025-08-03,sleep_early,evening,1
user_3,2025-08-03,journal,evening,0
user_3,2025-08-04,drink_water,morning,0
user_3,2025-08-04,stretch,morning,1
user_3,2025-08-04,walk_5min,evening,0
user_3,2025-08-04,read_5min,morning,1
user_3,2025-08-04,meditate,morning,0
user_3,2025-08-04,sleep_early,afternoon,1
user_3,2025-08-04,journal,morning,1
user_3,2025-08-05,drink_water,evening,1
user_3,2025-08-05,stretch,evening,0
user_3,2025-08-05,walk_5min,morning,1
user_3,2025-08-05,read_5min,evening,0
user_3,2025-08-05,meditate,morning,1
user_3,2025-08-05,sleep_early,afternoon,1
user_3,2025-08-05,journal,evening,1
user_3,2025-08-06,drink_water,morning,0
user_3,2025-08-06,stretch,morning,0
user_3,2025-08-06,walk_5min,morning,0
user_3,2025-08-06,read_5min,morning,0
user_3,2025-08-06,meditate,evening,0
user_3,2025-08-06,sleep_early,evening,1
user_3,2025-08-06,journal,evening,0
user_3,2025-08-07,drink_water,evening,0
user_3,2025-08-07,stretch,afternoon,0
user_3,2025-08-07,walk_5min,morning,1
user_3,2025-08-07,read_5min,afternoon,1
user_3,2025-08-07,meditate,morning,0
user_3,2025-08-07,sleep_early,morning,1
user_3,2025-08-07,journal,morning,1
user_3,2025-08-08,drink_water,afternoon,1
user_3,2025-08-08,stretch,morning,1
user_3,2025-08-08,walk_5min,afternoon,1
user_3,2025-08-08,read_5min,afternoon,1
user_3,2025-08-08,meditate,morning,1
user_3,2025-08-08,sleep_early,evening,0
user_3,2025-08-08,journal,morning,1
user_3,2025-08-09,drink_water,morning,1
user_3,2025-08-09,stretch,morning,1
user_3,2025-08-09,walk_5min,evening,0
user_3,2025-08-09,read_5min,morning,1
user_3,2025-08-09,meditate,morning,0
user_3,2025-08-09,sleep_early,afternoon,1
user_3,2025-08-09,journal,morning,0
user_3,2025-08-10,drink_water,morning,0
user_3,2025-08-10,stretch,morning,1
user_3,2025-08-10,walk_5min,evening,0
user_3,2025-08-10,read_5min,evening,0
user_3,2025-08-10,meditate,evening,0
user_3,2025-08-10,sleep_early,morning,1
user_3,2025-08-10,journal,afternoon,0
user_3,2025-08-11,drink_water,evening,1
user_3,2025-08-11,stretch,evening,1
user_3,2025-08-11,walk_5min,afternoon,1
user_3,2025-08-11,read_5min,evening,0
user_3,2025-08-11,meditate,morning,0
user_3,2025-08-11,sleep_early,afternoon,1
user_3,2025-08-11,journal,morning,1
user_3,2025-08-12,drink_water,morning,0
user_3,2025-08-12,stretch,evening,0
user_3,2025-08-12,walk_5min,afternoon,1
user_3,2025-08-12,read_5min,afternoon,0
user_3,2025-08-12,meditate,afternoon,0
user_3,2025-08-12,sleep_early,morning,0
user_3,2025-08-12,journal,morning,1
user_3,2025-08-13,drink_water,afternoon,1
user_3,2025-08-13,stretch,evening,1
user_3,2025-08-13,walk_5min,morning,0
user_3,2025-08-13,read_5min,morning,1
user_3,2025-08-13,meditate,morning,0
user_3,2025-08-13,sleep_early,morning,1
user_3,2025-08-13,journal,morning,1
user_3,2025-08-14,drink_water,morning,1
user_3,2025-08-14,stretch,evening,0
user_3,2025-08-14,walk_5min,afternoon,0
user_3,2025-08-14,read_5min,morning,1
user_3,2025-08-14,meditate,evening,1
user_3,2025-08-14,sleep_early,evening,1
user_3,2025-08-14,journal,afternoon,0
user_3,2025-08-15,drink_water,morning,0
user_3,2025-08-15,stretch,afternoon,1
user_3,2025-08-15,walk_5min,afternoon,0
user_3,2025-08-15,read_5min,morning,1
user_3,2025-08-15,meditate,afternoon,1
user_3,2025-08-15,sleep_early,morning,1
user_3,2025-08-15,journal,morning,0
user_3,2025-08-16,drink_water,evening,1
user_3,2025-08-16,stretch,morning,0
user_3,2025-08-16,walk_5min,evening,0
user_3,2025-08-16,read_5min,morning,0
user_3,2025-08-16,meditate,afternoon,1
user_3,2025-08-16,sleep_early,evening,0
user_3,2025-08-16,journal,afternoon,0
user_3,2025-08-17,drink_water,morning,1
user_3,2025-08-17,stretch,morning,0
user_3,2025-08-17,walk_5min,afternoon,1
user_3,2025-08-17,read_5min,evening,1
user_3,2025-08-17,meditate,morning,1
user_3,2025-08-17,sleep_early,afternoon,1
user_3,2025-08-17,journal,morning,0
user_3,2025-08-18,drink_water,afternoon,1
user_3,2025-08-18,stretch,morning,1
user_3,2025-08-18,walk_5min,morning,0
user_3,2025-08-18,read_5min,morning,0
user_3,2025-08-18,meditate,afternoon,1
user_3,2025-08-18,sleep_early,afternoon,1
user_3,2025-08-18,journal,morning,1
user_3,2025-08-19,drink_water,morning,0
user_3,2025-08-19,stretch,morning,0
user_3,2025-08-19,walk_5min,morning,0
user_3,2025-08-19,read_5min,evening,0
user_3,2025-08-19,meditate,afternoon,1
user_3,2025-08-19,sleep_early,morning,1
user_3,2025-08-19,journal,morning,1
user_3,2025-08-20,drink_water,afternoon,0
user_3,2025-08-20,stretch,morning,1
user_3,2025-08-20,walk_5min,evening,1
user_3,2025-08-20,read_5min,afternoon,0
user_3,2025-08-20,meditate,evening,1
user_3,2025-08-20,sleep_early,morning,1
user_3,2025-08-20,journal,morning,0
user_3,2025-08-21,drink_water,afternoon,0
user_3,2025-08-21,stretch,evening,0
user_3,2025-08-21,walk_5min,evening,1
user_3,2025-08-21,read_5min,morning,1
user_3,2025-08-21,meditate,morning,1
user_3,2025-08-21,sleep_early,morning,0
user_3,2025-08-21,journal,morning,1
user_3,2025-08-22,drink_water,afternoon,1
user_3,2025-08-22,stretch,morning,1
user_3,2025-08-22,walk_5min,morning,1
user_3,2025-08-22,read_5min,afternoon,0
user_3,2025-08-22,meditate,evening,1
user_3,2025-08-22,sleep_early,evening,1
user_3,2025-08-22,journal,afternoon,0
user_3,2025-08-23,drink_water,morning,1
user_3,2025-08-23,stretch,evening,1
user_3,2025-08-23,walk_5min,afternoon,1
user_3,2025-08-23,read_5min,afternoon,0
user_3,2025-08-23,meditate,afternoon,1
user_3,2025-08-23,sleep_early,morning,0
user_3,2025-08-23,journal,morning,0
user_3,2025-08-24,drink_water,evening,1
user_3,2025-08-24,stretch,afternoon,0
user_3,2025-08-24,walk_5min,morning,1
user_3,2025-08-24,read_5min,afternoon,0
user_3,2025-08-24,meditate,evening,0
user_3,2025-08-24,sleep_early,evening,1
user_3,2025-08-24,journal,afternoon,0
user_3,2025-08-25,drink_water,morning,0
user_3,2025-08-25,stretch,evening,0
user_3,2025-08-25,walk_5min,morning,0
user_3,2025-08-25,read_5min,morning,1
user_3,2025-08-25,meditate,morning,1
user_3,2025-08-25,sleep_early,morning,1
user_3,2025-08-25,journal,evening,0
user_3,2025-08-26,drink_water,morning,1
user_3,2025-08-26,stretch,morning,1
user_3,2025-08-26,walk_5min,morning,1
user_3,2025-08-26,read_5min,afternoon,1
user_3,2025-08-26,meditate,afternoon,1
user_3,2025-08-26,sleep_early,afternoon,0
user_3,2025-08-26,journal,morning,0
user_3,2025-08-27,drink_water,evening,1
user_3,2025-08-27,stretch,evening,1
user_3,2025-08-27,walk_5min,evening,0
user_3,2025-08-27,read_5min,evening,1
user_3,2025-08-27,meditate,evening,1
user_3,2025-08-27,sleep_early,afternoon,1
user_3,2025-08-27,journal,evening,1
user_3,2025-08-28,drink_water,morning,1
user_3,2025-08-28,stretch,morning,1
user_3,2025-08-28,walk_5min,evening,1
user_3,2025-08-28,read_5min,morning,0
user_3,2025-08-28,meditate,evening,1
user_3,2025-08-28,sleep_early,afternoon,1
user_3,2025-08-28,journal,evening,0
user_3,2025-08-29,drink_water,morning,1
user_3,2025-08-29,stretch,morning,1
user_3,2025-08-29,walk_5min,evening,1
user_3,2025-08-29,read_5min,morning,1
user_3,2025-08-29,meditate,evening,0
user_3,2025-08-29,sleep_early,afternoon,0
user_3,2025-08-29,journal,morning,0
user_3,2025-08-30,drink_water,morning,1
user_3,2025-08-30,stretch,morning,0
user_3,2025-08-30,walk_5min,afternoon,0
user_3,2025-08-30,read_5min,morning,0
user_3,2025-08-30,meditate,afternoon,1
user_3,2025-08-30,sleep_early,morning,1
user_3,2025-08-30,journal,morning,0
user_4,2025-08-01,drink_water,morning,1
user_4,2025-08-01,stretch,afternoon,1
user_4,2025-08-01,walk_5min,morning,1
user_4,2025-08-01,read_5min,morning,1
user_4,2025-08-01,meditate,evening,0
user_4,2025-08-01,sleep_early,afternoon,1
user_4,2025-08-01,journal,morning,1
user_4,2025-08-02,drink_water,afternoon,0
user_4,2025-08-02,stretch,afternoon,0
user_4,2025-08-02,walk_5min,afternoon,0
user_4,2025-08-02,read_5min,evening,0
user_4,2025-08-02,meditate,morning,0
user_4,2025-08-02,sleep_early,evening,0
user_4,2025-08-02,journal,evening,0
user_4,2025-08-03,drink_water,morning,0
user_4,2025-08-03,stretch,evening,0
user_4,2025-08-03,walk_5min,evening,0
user_4,2025-08-03,read_5min,evening,1
user_4,2025-08-03,meditate,afternoon,1
user_4,2025-08-03,sleep_early,morning,1
user_4,2025-08-03,journal,morning,1
user_4,2025-08-04,drink_water,afternoon,0
user_4,2025-08-04,stretch,morning,1
user_4,2025-08-04,walk_5min,afternoon,0
user_4,2025-08-04,read_5min,morning,1
user_4,2025-08-04,meditate,afternoon,1
user_4,2025-08-04,sleep_early,morning,0
user_4,2025-08-04,journal,evening,0
